"name","country.etc","long","lat"
"Aci Catena","Italy",15.14,37.6
"Aci Sant'Antonio","Italy",15.11,37.6
"Acireale","Italy",15.17,37.62
"Acopiara","Brazil",-39.46,-6.1
"Acquarossa","Switzerland",8.95,46.45
"Acquaviva delle Fonti","Italy",16.84,40.89
"Acqui Terme","Italy",8.46,44.68
"Acri","Italy",16.38,39.49
"Acs","Hungary",18.02,47.7
"Acu","Brazil",-36.91,-5.58
"Ada","Serbia",20.13,45.8
"Adacs","Hungary",19.96,47.71
"Adalsbruk","Norway",11.3,60.78
"Adamantina","Brazil",-51.08,-21.68
"Adamas","Greece",24.43,36.73
"Adamov","Czech Republic",16.66,49.32
"Adamovec","Croatia",16.17,45.9
"Adamus","Romania",24.23,46.3
"Adancata","Romania",26.3,47.73
"Adand","Hungary",18.17,46.85
"Adaufe","Portugal",-8.39,41.58
"Adavere","Estonia",25.9,58.71
"Addlestone","UK",-0.48,51.37
"Adelboden","Switzerland",7.57,46.48
"Adelfia","Italy",16.86,41
"Adendron","Greece",22.6,40.67
"Adigeni","Georgia",42.71,41.69
"Adjud","Romania",27.18,46.1
"Adligenswil","Switzerland",8.37,47.07
"Adliswil","Switzerland",8.51,47.32
"Adony","Hungary",18.87,47.13
"Adra","Spain",-3.02,36.76
"Adrano","Italy",14.83,37.67
"Adria","Italy",12.05,45.06
"Adriani","Greece",24.27,41.13
"Adunatii-Copaceni","Romania",26.07,44.27
"Aegviidu","Estonia",25.61,59.29
"Aesch","Switzerland",7.6,47.47
"Aespa","Estonia",24.66,59.2
"Aetsa","Finland",22.68,61.28
"Afantou","Greece",28.15,36.3
"Affeltrangen","Switzerland",9.03,47.52
"Affoltern","Switzerland",8.44,47.29
"Afidnai","Greece",23.83,38.22
"Afipskiy","Russia",38.84,44.9
"Afitos","Greece",23.43,40.1
"Afogados da Ingazeira","Brazil",-37.64,-7.75
"Afragola","Italy",14.3,40.93
"Afration","Greece",23.68,38.45
"Afumati","Romania",26.27,44.52
"Agara","Georgia",43.81,42.04
"Agas","Romania",26.22,46.48
"Agasegyhaza","Hungary",19.45,46.84
"Agcabedi","Azerbaijan",47.44,40.05
"Agdam","Azerbaijan",46.92,39.99
"Agdas","Azerbaijan",47.46,40.65
"Agde","France",3.46,43.33
"Agdere","Azerbaijan",46.8,40.22
"Agen","France",0.62,44.2
"Agfalva","Hungary",16.49,47.69
"Aghiresu","Romania",23.25,46.88
"Agidel","Russia",53.93,55.88
"Agigea","Romania",28.62,44.08
"Agliana","Italy",11,43.9
"Agnanteron","Greece",21.85,39.49
"Agnita","Romania",24.61,45.97
"Agno","Switzerland",8.85,45.98
"Agotnes","Norway",5.02,60.41
"Agrate Brianza","Italy",9.34,45.57
"Agria","Greece",23.02,39.33
"Agrigento","Italy",13.58,37.31
"Agrinion","Greece",21.41,38.62
"Agropoli","Italy",14.98,40.36
"Agstafa","Azerbaijan",45.45,41.11
"Agsu","Azerbaijan",48.39,40.57
"Aguada de Cima","Portugal",-8.42,40.52
"Aguai","Brazil",-46.98,-22.06
"Agualva-Cacem","Portugal",-9.3,38.77
"Aguas Belas","Brazil",-37.12,-9.11
"Aguas Lindas de Goias","Brazil",-48.25,-15.74
"Aguas Santas","Portugal",-8.58,41.21
"Agucadoura","Portugal",-8.77,41.43
"Agudos","Brazil",-49,-22.47
"Agueda","Portugal",-8.44,40.57
"Aguilar de Campoo","Spain",-4.27,42.8
"Aguilar de la Frontera","Spain",-4.65,37.52
"Aguilas","Spain",-1.59,37.41
"Ahaste","Estonia",24.2,58.48
"Ahaus","Germany",7.01,52.09
"Ahja","Estonia",27.07,58.2
"Ahlen","Germany",7.88,51.77
"Ahn-Dreiborn","Luxembourg",6.42,49.62
"Ahrensburg","Germany",10.23,53.68
"Ahtari","Finland",24.1,62.57
"Ahtopol","Bulgaria",27.94,42.1
"Ahula","Estonia",25.74,59.11
"Aiamaa","Estonia",25.57,58.78
"Aiani","Greece",21.82,40.17
"Aiantion","Greece",23.47,37.92
"Aichach","Germany",11.13,48.47
"Aidipsos","Greece",23.05,38.88
"Aidu","Estonia",25.61,58.25
"Aigaleo","Greece",23.68,37.98
"Aigle","Switzerland",6.95,46.32
"Aigrumae","Estonia",24.88,59.49
"Aila","Estonia",24.48,59.29
"Ainazi","Latvia",24.35,57.87
"Airdrie","UK",-3.99,55.87
"Aire-sur-la-Lys","France",2.39,50.64
"Aiseau-Presles","Belgium",4.59,50.41
"Aitolikon","Greece",21.35,38.43
"Aiud","Romania",23.73,46.32
"Aix-en-Provence","France",5.44,43.53
"Aix-les-Bains","France",5.9,45.7
"Aiyina","Greece",23.43,37.75
"Aiyinion","Greece",22.54,40.5
"Aiyion","Greece",22.08,38.25
"Aiyira","Greece",22.35,38.15
"Aizkraukle","Latvia",25.2,56.59
"Aizpute","Latvia",21.61,56.72
"Ajaccio","France",8.73,41.93
"Ajak","Hungary",22.06,48.2
"Ajdovscina","Slovenia",13.9,45.89
"Ajka","Hungary",17.56,47.1
"Ajtos","Bulgaria",27.26,42.72
"Akaszto","Hungary",19.2,46.69
"Akersberga","Sweden",18.31,59.48
"Akhaldaba","Georgia",42.16,41.65
"Akhalgori","Georgia",44.48,42.12
"Akhali Atoni","Georgia",40.8,43.1
"Akhalkalaki","Georgia",43.48,41.4
"Akhaltsikhe","Georgia",42.98,41.64
"Akharnai","Greece",23.73,38.08
"Akhmeta","Georgia",45.2,42.04
"Akhtubinsk","Russia",46.17,48.28
"Akhty","Russia",47.73,41.46
"Akhtyrskiy","Russia",38.3,44.85
"Akmene","Lithuania",22.73,56.25
"Akniste","Latvia",25.75,56.17
"Akraifnion","Greece",23.22,38.45
"Akrata","Greece",22.33,38.16
"Akrehamn-Vedavagen","Norway",5.2,59.26
"Akrolimni","Greece",22.26,40.68
"Aksay","Russia",39.87,47.26
"Aksdal","Norway",5.5,59.33
"Aksi","Estonia",26.64,58.53
"Al","Norway",8.56,60.64
"Ala","Estonia",25.69,58.02
"Alacant","Spain",-0.48,38.35
"Alagir","Russia",44.21,42.97
"Alagoinhas","Brazil",-38.43,-12.14
"Alaharma","Finland",22.85,63.23
"Alajarvi","Finland",23.82,63
"Alajoe","Estonia",27.43,59.01
"Alap","Hungary",18.69,46.8
"Alapajevsk","Russia",61.69,57.85
"Alaquas","Spain",-0.46,39.45
"Alasoo","Estonia",27.16,58.62
"Alassio","Italy",8.17,44.02
"Alastaro","Finland",22.92,60.93
"Alatri","Italy",13.34,41.73
"Alatskivi","Estonia",27.13,58.6
"Alattyan","Hungary",20.05,47.43
"Alavere","Estonia",25.32,59.24
"Alavieska","Finland",24.3,64.17
"Alavus","Finland",23.62,62.58
"Alba","Italy",8.03,44.71
"Alba Adriatica","Italy",13.93,42.82
"Alba Iulia","Romania",23.57,46.08
"Albacete","Spain",-1.87,39
"Albal","Spain",-0.41,39.4
"Albano Laziale","Italy",12.66,41.72
"Albatera","Spain",-0.87,38.18
"Albenga","Italy",8.21,44.05
"Albergaria-A-Velha","Portugal",-8.47,40.7
"Alberic","Spain",-0.52,39.12
"Albert","France",2.65,50
"Albertirsa","Hungary",19.62,47.24
"Albertville","France",6.38,45.68
"Albesti","Romania",24.85,46.23
"Albesti","Romania",27.07,47.7
"Albesti-Paleologu","Romania",26.22,44.95
"Albestii-Pamanteni","Romania",24.67,45.22
"Albi","France",2.15,43.93
"Albignasego","Italy",11.86,45.35
"Albino","Italy",9.78,45.77
"Alblasserdam","Netherlands",4.66,51.87
"Albolote","Spain",-3.65,37.24
"Alboraya","Spain",-0.35,39.5
"Albox","Spain",-2.14,37.39
"Albstadt","Germany",9.01,48.22
"Albu","Estonia",25.67,59.15
"Albufeira","Portugal",-8.26,37.09
"Alcabideche","Portugal",-9.41,38.73
"Alcacer","Spain",-0.43,39.37
"Alcacer do Sal","Portugal",-8.49,38.37
"Alcains","Portugal",-7.44,39.92
"Alcala de Chivert","Spain",0.23,40.3
"Alcala de Guadaira","Spain",-5.84,37.34
"Alcala de Henares","Spain",-3.37,40.48
"Alcala del Rio","Spain",-5.98,37.52
"Alcala la Real","Spain",-3.93,37.46
"Alcamo","Italy",12.96,37.98
"Alcanar","Spain",0.48,40.55
"Alcanede","Portugal",-8.81,39.42
"Alcanena","Portugal",-8.66,39.45
"Alcaniz","Spain",-0.13,41.05
"Alcantarilla","Spain",-1.22,37.96
"Alcaudete","Spain",-4.08,37.59
"Alcazar de San Juan","Spain",-3.21,39.39
"Alchevs'k","Ukraine",38.8,48.47
"Alcobaca","Portugal",-8.97,39.55
"Alcobendas","Spain",-3.64,40.54
"Alcochete","Portugal",-8.96,38.75
"Alcoentre","Portugal",-8.94,39.2
"Alcoi","Spain",-0.48,38.7
"Alcorcon","Spain",-3.82,40.35
"Alcudia","Spain",3.12,39.85
"Aldaia","Spain",-0.46,39.47
"Aldan","Russia",125.39,58.6
"Aldeia de Paio Pires","Portugal",-9.07,38.62
"Aldenhoven","Germany",6.27,50.91
"Aldershot","UK",-0.77,51.26
"Aldridge","UK",-1.92,52.6
"Alegrete","Brazil",-55.79,-29.78
"Aleksandrov","Russia",38.72,56.4
"Aleksandrovac","Serbia",21.05,43.46
"Aleksandrovsk","Russia",57.57,59.16
"Aleksandrovskoye","Russia",43,44.71
"Aleksandrow Kujawski","Poland",18.7,52.88
"Aleksandrow Lodzki","Poland",19.3,51.82
"Alekseyevka","Russia",38.7,50.64
"Aleksin","Russia",37.09,54.52
"Aleksinac","Serbia",21.71,43.54
"Aleksinacki Rudnik","Serbia",21.69,43.56
"Alella","Spain",2.3,41.48
"Alem Paraiba","Brazil",-42.69,-21.87
"Alencon","France",0.09,48.44
"Alenquer","Brazil",-54.79,-1.94
"Alenquer","Portugal",-8.99,39.05
"Alepou","Greece",19.89,39.61
"Ales","France",4.08,44.13
"Alesd","Romania",22.4,47.06
"Alesund","Norway",6.2,62.48
"Alexandria","Greece",22.44,40.63
"Alexandria","Italy",8.61,44.92
"Alexandria","Romania",25.34,43.99
"Alexandria","UK",-4.6,55.98
"Alexandria","Ukraine",33.12,48.67
"Alexandroupoli","Greece",25.87,40.85
"Aleysk","Russia",82.78,52.49
"Alfafar","Spain",-0.39,39.42
"Alfaro","Spain",-1.75,42.18
"Alfatar","Bulgaria",27.3,43.96
"Alfeld","Germany",9.83,52
"Alfena","Portugal",-8.52,41.23
"Alfenas","Brazil",-45.95,-21.41
"Alferrarede","Portugal",-8.16,39.48
"Alfonsine","Italy",12.04,44.51
"Alfortville","France",2.42,48.81
"Alfreton","UK",-1.37,53.08
"Alfter","Germany",7.01,50.74
"Algard-Figgjo","Norway",5.85,58.77
"Algarheim","Norway",11.28,60.15
"Algeciras","Spain",-5.45,36.13
"Algemesi","Spain",-0.44,39.2
"Alges","Portugal",-9.23,38.7
"Algete","Spain",-3.51,40.61
"Alghero","Italy",8.31,40.57
"Alginet","Spain",-0.47,39.27
"Alguazas","Spain",-1.23,38.05
"Algueirao-Mem Martins","Portugal",-9.34,38.8
"Algyo","Hungary",20.25,46.32
"Alhadas","Portugal",-8.77,40.18
"Alhama de Murcia","Spain",-1.42,37.86
"Alhandra","Portugal",-8.99,38.92
"Alhaurin de la Torre","Spain",-4.55,36.67
"Alhaurin el Grande","Spain",-4.77,36.66
"Alhos Vedros","Portugal",-9.02,38.65
"Aliartos","Greece",23.1,38.37
"Alibunar","Serbia",20.97,45.08
"Alingsas","Sweden",12.54,57.93
"Alistrati","Greece",23.95,41.07
"Aliverion","Greece",24.05,38.38
"Aljaraque","Spain",-7.02,37.27
"Aljezur","Portugal",-8.79,37.32
"Aljubarrota","Portugal",-8.92,39.57
"Aljustrel","Portugal",-8.16,37.87
"Alken","Belgium",5.3,50.87
"Alkmaar","Netherlands",4.75,52.64
"Allauch","France",5.48,43.34
"Alle","Switzerland",7.13,47.43
"Aller","Spain",-5.55,43.05
"Allerborn","Luxembourg",5.87,50.03
"Alli Meria","Greece",22.98,39.37
"Alliku","Estonia",24.55,59.35
"Allingabro","Denmark",10.33,56.47
"Allinge-Sandvig","Denmark",14.8,55.28
"Alloa","UK",-3.79,56.13
"Allonnes","France",0.14,47.97
"Allschwil","Switzerland",7.53,47.55
"Almada","Portugal",-9.16,38.68
"Almagro","Spain",-3.72,38.88
"Almancil","Portugal",-8.02,37.08
"Almansa","Spain",-1.11,38.87
"Almargem do Bispo","Portugal",-9.26,38.83
"Almasfuzito","Hungary",18.27,47.72
"Almassora","Spain",-0.05,39.95
"Almazna","Ukraine",39.32,48.06
"Almeirim","Portugal",-8.62,39.2
"Almelo","Netherlands",6.65,52.36
"Almenara","Brazil",-40.7,-16.17
"Almendralejo","Spain",-6.41,38.68
"Almere","Netherlands",5.17,52.36
"Almeria","Spain",-2.43,36.83
"Almetyevsk","Russia",52.31,54.9
"Almirante Tamandare","Brazil",-49.32,-25.3
"Almiros","Greece",22.76,39.18
"Almodovar del Campo","Spain",-4.17,38.72
"Almodovar del Rio","Spain",-5.02,37.8
"Almonte","Spain",-6.52,37.27
"Almoradi","Spain",-0.77,38.12
"Almunecar","Spain",-3.69,36.75
"Alnes","Norway",5.97,62.48
"Aloja","Latvia",24.87,57.78
"Alora","Spain",-4.7,36.83
"Alovera","Spain",-3.25,40.6
"Alpedrete","Spain",-4.02,40.67
"Alpendurada e Matos","Portugal",-8.22,41.08
"Alphen","Netherlands",4.66,52.14
"Alpiarca","Portugal",-8.57,39.25
"Alpignano","Italy",7.51,45.11
"Alpnach","Switzerland",8.27,46.95
"Alsager","UK",-2.3,53.1
"Alsasua","Spain",-2.17,42.87
"Alscheid","Luxembourg",6,49.97
"Alsdorf","Germany",6.15,50.88
"Alsfeld","Germany",9.26,50.76
"Alshus","Norway",10.96,59.13
"Alsonemedi","Hungary",19.18,47.33
"Alsozsolca","Hungary",20.88,48.08
"Alsvag","Norway",15.28,68.9
"Alta","Norway",23.27,69.98
"Alta Floresta","Brazil",-55.91,-9.9
"Altach","Austria",9.65,47.35
"Altamira","Brazil",-52.21,-3.2
"Altamura","Italy",16.55,40.84
"Altdorf","Germany",11.34,49.39
"Altdorf","Switzerland",8.64,46.89
"Altea","Spain",-0.05,38.6
"Altena","Germany",7.66,51.31
"Altenburg","Germany",12.44,51.01
"Altendorf","Switzerland",8.82,47.18
"Alterswil","Switzerland",7.27,46.8
"Althofen","Austria",14.23,47.15
"Altiagac","Azerbaijan",48.94,40.88
"Altlinster","Luxembourg",6.21,49.71
"Altmunster","Austria",13.75,47.9
"Altnau","Switzerland",9.25,47.62
"Altopascio","Italy",10.66,43.82
"Altos","Brazil",-42.46,-5.05
"Altrier","Luxembourg",6.32,49.74
"Altrincham","UK",-2.36,53.38
"Altstatten","Switzerland",9.53,47.39
"Altwies","Luxembourg",6.25,49.51
"Alu","Estonia",24.76,59.02
"Aluksne","Latvia",27.04,57.43
"Alunitdag","Azerbaijan",46.05,40.55
"Alushta","Ukraine",34.42,44.67
"Aluste","Estonia",24.92,58.62
"Alvares Machado","Brazil",-51.5,-22.13
"Alvdal","Norway",10.65,62.12
"Alverca do Ribatejo","Portugal",-9.04,38.89
"Alveringem","Belgium",2.72,51.02
"Alvik","Norway",6.43,60.43
"Alvor","Portugal",-8.56,37.13
"Alvorada","Brazil",-51.09,-30.02
"Alytus","Lithuania",24.05,54.39
"Alzano Lombardo","Italy",9.72,45.73
"Alzenau","Germany",9.06,50.09
"Alzey","Germany",8.11,49.76
"Alzingen","Luxembourg",6.16,49.56
"Alzira","Spain",-0.44,39.16
"Ama","Estonia",26.04,59.41
"Amadora","Portugal",-9.24,38.75
"Amalias","Greece",21.35,37.8
"Amantea","Italy",16.07,39.14
"Amara","Romania",27.32,44.62
"Amarante","Portugal",-8.07,41.27
"Amarastii de Jos","Romania",24.17,43.95
"Amargosa","Brazil",-39.59,-13.02
"Amari","Estonia",24.58,59.37
"Amarinthos","Greece",23.88,38.4
"Amarousion","Greece",23.8,38.05
"Amay","Belgium",5.32,50.55
"Ambares-et-Lagrave","France",-0.49,44.92
"Ambelakia","Greece",23.53,37.95
"Ambeloi","Greece",23.37,41
"Ambelokipoi","Greece",20.87,37.77
"Ambelokipoi","Greece",22.92,40.66
"Ambelon","Greece",22.34,39.74
"Amberg","Germany",11.85,49.45
"Amberieu-en-Bugey","France",5.33,45.97
"Ambla","Estonia",25.85,59.19
"Amboise","France",0.98,47.41
"Ambrolauri","Georgia",43.15,42.52
"Ambt Montfort","Netherlands",6.04,51.12
"Amel","Belgium",6.15,50.35
"Amelia","Italy",12.41,42.56
"Americana","Brazil",-47.33,-22.75
"Americo Brasiliense","Brazil",-48.12,-21.72
"Amersfoort","Netherlands",5.38,52.16
"Amersham","UK",-0.62,51.68
"Ames","Spain",-8.64,42.9
"Amesbury","UK",-1.78,51.17
"Amfiklia","Greece",22.58,38.63
"Amfilokhia","Greece",21.17,38.86
"Amfissa","Greece",22.37,38.53
"Amiens","France",2.3,49.9
"Amigdaleon","Greece",24.37,40.97
"Amilly","France",2.78,47.97
"Amintaion","Greece",21.7,40.7
"Amisiana","Greece",24.35,40.93
"Amli","Norway",8.5,58.78
"Ammanford","UK",-3.99,51.79
"Ammokhorion","Greece",21.48,40.78
"Amneville","France",6.14,49.26
"Amor","Portugal",-8.86,39.8
"Amora","Portugal",-9.11,38.62
"Amot","Norway",8.37,59.63
"Amot-Geithus","Norway",9.9,59.9
"Amparo","Brazil",-46.77,-22.71
"Amposta","Spain",0.58,40.72
"Amriswil","Switzerland",9.29,47.55
"Amstelveen","Netherlands",4.86,52.32
"Amsterdam","Netherlands",4.89,52.37
"Amstetten","Austria",14.86,48.13
"Amurrio","Spain",-3,43.07
"Amursk","Russia",136.9,50.22
"Amvrosiyivka","Ukraine",38.48,47.79
"Anagni","Italy",13.14,41.75
"Analipsis","Greece",25.57,35.32
"Anan'yiv","Ukraine",29.96,47.72
"Ananindeua","Brazil",-48.38,-1.38
"Anapolis","Brazil",-48.96,-16.32
"Anarcs","Hungary",22.11,48.18
"Anari","Estonia",25.36,58.84
"Anarrakhi","Greece",21.57,40.48
"Anatoli","Greece",20.87,39.64
"Anatolikon","Greece",22.71,40.66
"Anavissos","Greece",23.95,37.73
"Anavra","Greece",22.08,39.2
"Ancona","Italy",13.5,43.6
"Andalsnes","Norway",7.72,62.57
"Andebu","Norway",10.08,59.33
"Andelfingen","Switzerland",8.68,47.6
"Andenes","Norway",16.11,69.32
"Andenne","Belgium",5.1,50.48
"Anderlues","Belgium",4.27,50.4
"Andernach","Germany",7.4,50.44
"Andernos-les-Bains","France",-1.1,44.73
"Andoain","Spain",-2.02,43.23
"Andornaktalya","Hungary",20.41,47.85
"Andorra","Spain",-0.43,40.97
"Andover","UK",-1.49,51.21
"Andradas","Brazil",-46.57,-22.07
"Andradina","Brazil",-51.38,-20.91
"Andraitx","Spain",2.42,39.58
"Andrasevec","Croatia",15.95,46
"Andravida","Greece",21.27,37.9
"Andresy","France",2.07,48.99
"Andrezieux-Boutheon","France",4.26,45.53
"Andria","Italy",16.29,41.23
"Andrijasevci","Croatia",18.74,45.22
"Andriyivka","Ukraine",36.64,49.54
"Andros","Greece",24.93,37.83
"Andrushivka","Ukraine",29.02,50.02
"Andrychow","Poland",19.34,49.86
"Andselv","Norway",18.57,69.07
"Andslimoen","Norway",18.59,69.09
"Andujar","Spain",-4.06,38.04
"Andwil","Switzerland",9.27,47.43
"Aneby","Norway",10.87,60.08
"Anenii Noi","Moldova",29.26,46.89
"Aneza","Greece",20.92,39.09
"Angarsk","Russia",103.91,52.57
"Angelholm","Sweden",12.87,56.25
"Angelokastron","Greece",21.3,38.57
"Angelokhorion","Greece",22.2,40.68
"Angelsberg","Luxembourg",6.16,49.75
"Angermunde","Germany",13.99,53.03
"Angers","France",-0.54,47.48
"Anglet","France",-1.51,43.49
"Angouleme","France",0.15,45.66
"Angra dos Reis","Brazil",-44.32,-23
"Angri","Italy",14.56,40.75
"Anguillara Sabazia","Italy",12.26,42.09
"Anhee","Belgium",4.88,50.31
"Aniche","France",3.25,50.33
"Anieres","Switzerland",6.22,46.28
"Anif","Austria",13.06,47.75
"Anija","Estonia",25.31,59.38
"Anikatsi","Estonia",25.74,58.15
"Anina","Romania",21.86,45.08
"Aninoasa","Romania",23.33,45.4
"Aninoasa","Romania",25.43,44.97
"Anjalankoski","Finland",26.8,60.69
"Ankaran","Slovenia",13.75,45.58
"Ankathia","Greece",22.47,40.56
"Anna","Estonia",25.87,58.65
"Anna","Russia",40.43,51.49
"Anna Paulowna","Netherlands",4.85,52.79
"Annaberg-Buchholz","Germany",13.01,50.58
"Annecy","France",6.12,45.91
"Annecy-le-Vieux","France",6.15,45.92
"Annemasse","France",6.22,46.2
"Annfield Plain","UK",-1.73,54.85
"Annikoru","Estonia",26.3,58.27
"Annkhialos","Greece",22.87,40.72
"Annoeullin","France",2.94,50.53
"Annonay","France",4.66,45.24
"Ano Komi","Greece",21.83,40.23
"Ano Lekhonia","Greece",23.05,39.33
"Ano Liosia","Greece",23.7,38.08
"Ano Mera","Greece",25.4,37.45
"Ano Poroia","Greece",23.03,41.28
"Ano Siros","Greece",24.94,37.45
"Ano Stauros","Greece",23.7,40.65
"Anoixis","Greece",23.85,38.13
"Anoyia","Greece",24.88,35.28
"Ans","Belgium",5.53,50.65
"Ansembourg","Luxembourg",6.04,49.7
"Ansfelden","Austria",14.3,48.22
"Anston-Dinnington","UK",-1.22,53.35
"Anta","Portugal",-8.62,41.27
"Antas","Portugal",-8.29,41.73
"Antequera","Spain",-4.56,37.02
"Anthili","Greece",22.47,38.85
"Anthisnes","Belgium",5.52,50.48
"Anthousa","Greece",23.88,37.99
"Antibes","France",7.12,43.6
"Antifilippoi","Greece",24.22,40.95
"Antikira","Greece",22.63,38.39
"Antimakhia","Greece",27.1,36.81
"Antin","Croatia",18.75,45.38
"Antirrion","Greece",21.77,38.33
"Antoing","Belgium",3.45,50.57
"Antonivka","Ukraine",32.77,46.69
"Antonovo","Bulgaria",26.17,43.16
"Antony","France",2.3,48.76
"Antratsyt","Ukraine",39.09,48.12
"Antrim","UK",-6.23,54.72
"Antsla","Estonia",26.53,57.84
"Antunovac","Croatia",18.68,45.49
"Antwerp","Belgium",4.42,51.22
"Anyksciai","Lithuania",25.1,55.53
"Anzegem","Belgium",3.47,50.83
"Anzhero-Sudzhensk","Russia",86.04,56.08
"Anzin","France",3.49,50.37
"Anzio","Italy",12.62,41.46
"Aosta","Italy",7.31,45.75
"Apagy","Hungary",21.96,47.98
"Apahida","Romania",23.75,46.82
"Aparecida","Brazil",-45.23,-22.83
"Aparecida de Goiania","Brazil",-49.24,-16.82
"Apatfalva","Hungary",20.58,46.17
"Apatin","Serbia",18.98,45.67
"Apatity","Russia",33.39,67.57
"Apc","Hungary",19.7,47.81
"Ape","Latvia",26.69,57.55
"Apelacao","Portugal",-9.12,38.82
"Apeldoorn","Netherlands",5.96,52.22
"Apolda","Germany",11.51,51.03
"Apostag","Hungary",18.95,46.88
"Apostolove","Ukraine",33.73,47.67
"Appenzell","Switzerland",9.4,47.33
"Appiano","Italy",11.24,46.47
"Appingedam","Netherlands",6.86,53.32
"Aprelevka","Russia",37.07,55.54
"Apricena","Italy",15.44,41.79
"Aprilci","Bulgaria",24.92,42.84
"Aprilia","Italy",12.65,41.6
"Apsalos","Greece",22.05,40.89
"Apsheronsk","Russia",39.73,44.46
"Apt","France",5.39,43.88
"Apucarana","Brazil",-51.47,-23.55
"Apulia","Portugal",-8.76,41.48
"Aquidauana","Brazil",-55.79,-20.47
"Aquiraz","Brazil",-38.37,-3.9
"Aracaju","Brazil",-37.07,-10.91
"Aracati","Brazil",-37.77,-4.56
"Aracatuba","Brazil",-50.45,-21.21
"Aracinovo","North Macedonia",21.57,42.04
"Aracruz","Brazil",-40.27,-19.82
"Aracuai","Brazil",-42.07,-16.86
"Arad","Romania",21.32,46.19
"Aradas","Portugal",-8.64,40.62
"Araguaina","Brazil",-48.21,-7.19
"Araguari","Brazil",-48.2,-18.64
"Arahal","Spain",-5.54,37.27
"Arakhova","Greece",22.58,38.48
"Aramil","Russia",60.83,56.7
"Aran","Azerbaijan",46.98,40.63
"Aranda de Duero","Spain",-3.7,41.68
"Arandelovac","Serbia",20.57,44.31
"Aranjuez","Spain",-3.61,40.03
