"Job.Title","Job.Category"
"AI Engineer","Artificial Intelligence"
"Data Science Graduate","Entry Level"
"Full Stack Engineer","Full Stack Development"
"Senior Platform Architect","Architecture"
"DevOps Engineer II","DevOps"
"Robotics engineer","Robotics"
"Senior Developer II","Software Engineering"
"Senior Analyst","Data Analysis"
"Security Engineer","Security"
"Technical Consultant","Consulting"
"Senior Full Stack Engineer","Full Stack Development"
"Senior DevOps Engineer","DevOps"
"CloudEngineer","Cloud Engineering"
"Developer","Software Engineering"
"Senior Product Manager","Product Management"
"Senior Ruby Developer","Software Engineering"
"C++ Engineer","Software Engineering"
"Staff Engineer","Software Engineering"
"Data Engineering Manager","Engineering Management"
"Salesforce Manager","IT Management"
"Digital IC Design Engineer","Hardware Engineering"
"Research Engineer","Research and Development"
"Frontend","Frontend Development"
"Software Quality Engineer","Quality Assurance"
"Senior Python Engineer","Backend Development"
"Software Engineer (Backend)","Backend Development"
"Junior Frontend Developer","Frontend Development"
"Engineering manager","Engineering Management"
"Senior Devops Engineer","DevOps"
"Software engineer intern","Internship"
